fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,eval_class_report,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_support_Maoist,train_support_Security,train_support_Unknown
0.25,25%,1982,bert-base-cased,BERT,0.17489510774612427,0.9435483870967742,0.8914587072390407,0.9439708748669864,"{""Maoist"": {""precision"": 0.968503937007874, ""recall"": 0.9479768786127167, ""f1-score"": 0.9581304771178188, ""support"": 519.0}, ""Security"": {""precision"": 0.9377880184331797, ""recall"": 0.9531615925058547, ""f1-score"": 0.9454123112659698, ""support"": 427.0}, ""Unknown"": {""precision"": 0.74, ""recall"": 0.8043478260869565, ""f1-score"": 0.7708333333333334, ""support"": 46.0}, ""accuracy"": 0.9435483870967742, ""macro avg"": {""precision"": 0.8820973184803513, ""recall"": 0.9018287657351761, ""f1-score"": 0.8914587072390407, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.944686519332716, ""recall"": 0.9435483870967742, ""f1-score"": 0.9439708748669864, ""support"": 992.0}}",1.9541,507.656,15.864,2.0,1063,827,92
0.25,25%,1982,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.1507931649684906,0.9536290322580645,0.9150865003990155,0.9536424375677013,"{""Maoist"": {""precision"": 0.9669260700389105, ""recall"": 0.9576107899807321, ""f1-score"": 0.9622458857696031, ""support"": 519.0}, ""Security"": {""precision"": 0.9513888888888888, ""recall"": 0.9625292740046838, ""f1-score"": 0.9569266589057043, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8260869565217391, ""recall"": 0.8260869565217391, ""f1-score"": 0.8260869565217391, ""support"": 46.0}, ""accuracy"": 0.9536290322580645, ""macro avg"": {""precision"": 0.9148006384831796, ""recall"": 0.9154090068357185, ""f1-score"": 0.9150865003990155, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9537073446630545, ""recall"": 0.9536290322580645, ""f1-score"": 0.9536424375677013, ""support"": 992.0}}",1.9418,510.86,15.964,2.0,1063,827,92
0.25,25%,1982,FacebookAI/roberta-base,RoBERTa,0.1649782359600067,0.9556451612903226,0.9123883259303036,0.9552583399627703,"{""Maoist"": {""precision"": 0.974559686888454, ""recall"": 0.9595375722543352, ""f1-score"": 0.9669902912621359, ""support"": 519.0}, ""Security"": {""precision"": 0.9410430839002267, ""recall"": 0.9718969555035128, ""f1-score"": 0.956221198156682, ""support"": 427.0}, ""Unknown"": {""precision"": 0.875, ""recall"": 0.7608695652173914, ""f1-score"": 0.813953488372093, ""support"": 46.0}, ""accuracy"": 0.9556451612903226, ""macro avg"": {""precision"": 0.9302009235962269, ""recall"": 0.897434697658413, ""f1-score"": 0.9123883259303036, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9555160023392182, ""recall"": 0.9556451612903226, ""f1-score"": 0.9552583399627703, ""support"": 992.0}}",1.9396,511.448,15.983,2.0,1063,827,92
0.25,25%,1982,distilbert-base-cased,DistilBERT,0.15313953161239624,0.9495967741935484,0.9041193778898696,0.9494339330024814,"{""Maoist"": {""precision"": 0.9596928982725528, ""recall"": 0.9633911368015414, ""f1-score"": 0.9615384615384616, ""support"": 519.0}, ""Security"": {""precision"": 0.9508196721311475, ""recall"": 0.9508196721311475, ""f1-score"": 0.9508196721311475, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8181818181818182, ""recall"": 0.782608695652174, ""f1-score"": 0.8, ""support"": 46.0}, ""accuracy"": 0.9495967741935484, ""macro avg"": {""precision"": 0.9095647961951728, ""recall"": 0.898939834861621, ""f1-score"": 0.9041193778898696, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9493114695965912, ""recall"": 0.9495967741935484, ""f1-score"": 0.9494339330024814, ""support"": 992.0}}",1.2259,809.186,25.287,2.0,1063,827,92
0.25,25%,1982,xlnet-base-cased,XLNet,0.1470867246389389,0.9566532258064516,0.904022019997753,0.9566790135033758,"{""Maoist"": {""precision"": 0.9746588693957114, ""recall"": 0.9633911368015414, ""f1-score"": 0.9689922480620154, ""support"": 519.0}, ""Security"": {""precision"": 0.953810623556582, ""recall"": 0.9672131147540983, ""f1-score"": 0.9604651162790697, ""support"": 427.0}, ""Unknown"": {""precision"": 0.782608695652174, ""recall"": 0.782608695652174, ""f1-score"": 0.782608695652174, ""support"": 46.0}, ""accuracy"": 0.9566532258064516, ""macro avg"": {""precision"": 0.9036927295348224, ""recall"": 0.9044043157359378, ""f1-score"": 0.904022019997753, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9567793240675754, ""recall"": 0.9566532258064516, ""f1-score"": 0.9566790135033758, ""support"": 992.0}}",2.8489,348.203,10.881,2.0,1063,827,92
0.25,25%,1982,google/electra-base-discriminator,ELECTRA,0.19543145596981049,0.9485887096774194,0.8957712119143485,0.9487173222052133,"{""Maoist"": {""precision"": 0.9688109161793372, ""recall"": 0.9576107899807321, ""f1-score"": 0.9631782945736435, ""support"": 519.0}, ""Security"": {""precision"": 0.9444444444444444, ""recall"": 0.955503512880562, ""f1-score"": 0.9499417927823051, ""support"": 427.0}, ""Unknown"": {""precision"": 0.7659574468085106, ""recall"": 0.782608695652174, ""f1-score"": 0.7741935483870968, ""support"": 46.0}, ""accuracy"": 0.9485887096774194, ""macro avg"": {""precision"": 0.8930709358107641, ""recall"": 0.8985743328378226, ""f1-score"": 0.8957712119143485, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9489160139395618, ""recall"": 0.9485887096774194, ""f1-score"": 0.9487173222052133, ""support"": 992.0}}",2.0677,479.751,14.992,2.0,1063,827,92
0.5,50%,3965,bert-base-cased,BERT,0.12654246389865875,0.9647177419354839,0.9301451004016469,0.9644172994282088,"{""Maoist"": {""precision"": 0.9692307692307692, ""recall"": 0.9710982658959537, ""f1-score"": 0.9701636188642926, ""support"": 519.0}, ""Security"": {""precision"": 0.9651972157772621, ""recall"": 0.9742388758782201, ""f1-score"": 0.9696969696969697, ""support"": 427.0}, ""Unknown"": {""precision"": 0.9024390243902439, ""recall"": 0.8043478260869565, ""f1-score"": 0.8505747126436781, ""support"": 46.0}, ""accuracy"": 0.9647177419354839, ""macro avg"": {""precision"": 0.9456223364660917, ""recall"": 0.9165616559537101, ""f1-score"": 0.9301451004016469, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.964397354324205, ""recall"": 0.9647177419354839, ""f1-score"": 0.9644172994282088, ""support"": 992.0}}",1.983,500.24,15.633,2.0,2053,1725,187
0.5,50%,3965,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.12696588039398193,0.9606854838709677,0.911012317845365,0.9607761424211455,"{""Maoist"": {""precision"": 0.9728682170542635, ""recall"": 0.9672447013487476, ""f1-score"": 0.970048309178744, ""support"": 519.0}, ""Security"": {""precision"": 0.965034965034965, ""recall"": 0.9695550351288056, ""f1-score"": 0.9672897196261683, ""support"": 427.0}, ""Unknown"": {""precision"": 0.7872340425531915, ""recall"": 0.8043478260869565, ""f1-score"": 0.7956989247311828, ""support"": 46.0}, ""accuracy"": 0.9606854838709677, ""macro avg"": {""precision"": 0.9083790748808066, ""recall"": 0.9137158541881699, ""f1-score"": 0.911012317845365, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9608884079420762, ""recall"": 0.9606854838709677, ""f1-score"": 0.9607761424211455, ""support"": 992.0}}",1.9758,502.072,15.69,2.0,2053,1725,187
0.5,50%,3965,FacebookAI/roberta-base,RoBERTa,0.1555919051170349,0.9606854838709677,0.9117249179653623,0.9601262109969533,"{""Maoist"": {""precision"": 0.9766081871345029, ""recall"": 0.9653179190751445, ""f1-score"": 0.9709302325581395, ""support"": 519.0}, ""Security"": {""precision"": 0.95, ""recall"": 0.9789227166276346, ""f1-score"": 0.9642445213379469, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8717948717948718, ""recall"": 0.7391304347826086, ""f1-score"": 0.8, ""support"": 46.0}, ""accuracy"": 0.9606854838709677, ""macro avg"": {""precision"": 0.9328010196431249, ""recall"": 0.8944570234951291, ""f1-score"": 0.9117249179653623, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9602945697836403, ""recall"": 0.9606854838709677, ""f1-score"": 0.9601262109969533, ""support"": 992.0}}",1.9331,513.153,16.036,2.0,2053,1725,187
0.5,50%,3965,distilbert-base-cased,DistilBERT,0.12121820449829102,0.9606854838709677,0.912081830069774,0.9605160052972734,"{""Maoist"": {""precision"": 0.9692307692307692, ""recall"": 0.9710982658959537, ""f1-score"": 0.9701636188642926, ""support"": 519.0}, ""Security"": {""precision"": 0.9649532710280374, ""recall"": 0.9672131147540983, ""f1-score"": 0.9660818713450292, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8181818181818182, ""recall"": 0.782608695652174, ""f1-score"": 0.8, ""support"": 46.0}, ""accuracy"": 0.9606854838709677, ""macro avg"": {""precision"": 0.917455286146875, ""recall"": 0.9069733587674086, ""f1-score"": 0.912081830069774, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9603852616896219, ""recall"": 0.9606854838709677, ""f1-score"": 0.9605160052972734, ""support"": 992.0}}",1.2463,795.94,24.873,2.0,2053,1725,187
0.5,50%,3965,xlnet-base-cased,XLNet,0.1262417435646057,0.9627016129032258,0.917451301563787,0.962254102417742,"{""Maoist"": {""precision"": 0.9766536964980544, ""recall"": 0.9672447013487476, ""f1-score"": 0.9719264278799613, ""support"": 519.0}, ""Security"": {""precision"": 0.954337899543379, ""recall"": 0.9789227166276346, ""f1-score"": 0.9664739884393063, ""support"": 427.0}, ""Unknown"": {""precision"": 0.875, ""recall"": 0.7608695652173914, ""f1-score"": 0.813953488372093, ""support"": 46.0}, ""accuracy"": 0.9627016129032258, ""macro avg"": {""precision"": 0.9353305320138112, ""recall"": 0.9023456610645914, ""f1-score"": 0.917451301563787, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9623342253906383, ""recall"": 0.9627016129032258, ""f1-score"": 0.962254102417742, ""support"": 992.0}}",2.8338,350.062,10.939,2.0,2053,1725,187
0.5,50%,3965,google/electra-base-discriminator,ELECTRA,0.1604456603527069,0.9576612903225806,0.9194034410128115,0.9574938965892013,"{""Maoist"": {""precision"": 0.9763779527559056, ""recall"": 0.9556840077071291, ""f1-score"": 0.9659201557935735, ""support"": 519.0}, ""Security"": {""precision"": 0.9455782312925171, ""recall"": 0.9765807962529274, ""f1-score"": 0.9608294930875576, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8604651162790697, ""recall"": 0.8043478260869565, ""f1-score"": 0.8314606741573034, ""support"": 46.0}, ""accuracy"": 0.9576612903225806, ""macro avg"": {""precision"": 0.9274737667758307, ""recall"": 0.912204210015671, ""f1-score"": 0.9194034410128115, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9577454209587267, ""recall"": 0.9576612903225806, ""f1-score"": 0.9574938965892013, ""support"": 992.0}}",2.0897,474.708,14.835,2.0,2053,1725,187
1.0,100%,7931,bert-base-cased,BERT,0.12251825630664825,0.9637096774193549,0.9223010650753793,0.9633730076571275,"{""Maoist"": {""precision"": 0.9766990291262136, ""recall"": 0.9691714836223507, ""f1-score"": 0.9729206963249516, ""support"": 519.0}, ""Security"": {""precision"": 0.9564220183486238, ""recall"": 0.9765807962529274, ""f1-score"": 0.966396292004635, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8780487804878049, ""recall"": 0.782608695652174, ""f1-score"": 0.8275862068965517, ""support"": 46.0}, ""accuracy"": 0.9637096774193549, ""macro avg"": {""precision"": 0.9370566093208809, ""recall"": 0.9094536585091507, ""f1-score"": 0.9223010650753793, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9633964131590789, ""recall"": 0.9637096774193549, ""f1-score"": 0.9633730076571275, ""support"": 992.0}}",1.9678,504.129,15.754,2.0,4152,3410,369
1.0,100%,7931,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.12330962717533112,0.9576612903225806,0.9167509128722052,0.9571632713556395,"{""Maoist"": {""precision"": 0.9618320610687023, ""recall"": 0.9710982658959537, ""f1-score"": 0.9664429530201343, ""support"": 519.0}, ""Security"": {""precision"": 0.958041958041958, ""recall"": 0.9625292740046838, ""f1-score"": 0.9602803738317757, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8974358974358975, ""recall"": 0.7608695652173914, ""f1-score"": 0.8235294117647058, ""support"": 46.0}, ""accuracy"": 0.9576612903225806, ""macro avg"": {""precision"": 0.9391033055155192, ""recall"": 0.8981657017060097, ""f1-score"": 0.9167509128722052, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9572145232465966, ""recall"": 0.9576612903225806, ""f1-score"": 0.9571632713556395, ""support"": 992.0}}",1.9729,502.802,15.713,2.0,4152,3410,369
1.0,100%,7931,FacebookAI/roberta-base,RoBERTa,0.11682583391666412,0.967741935483871,0.9265248994331378,0.9675276690732737,"{""Maoist"": {""precision"": 0.9749518304431599, ""recall"": 0.9749518304431599, ""f1-score"": 0.9749518304431599, ""support"": 519.0}, ""Security"": {""precision"": 0.9697674418604652, ""recall"": 0.9765807962529274, ""f1-score"": 0.9731621936989499, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8604651162790697, ""recall"": 0.8043478260869565, ""f1-score"": 0.8314606741573034, ""support"": 46.0}, ""accuracy"": 0.967741935483871, ""macro avg"": {""precision"": 0.9350614628608982, ""recall"": 0.9186268175943479, ""f1-score"": 0.9265248994331378, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.967411384096024, ""recall"": 0.967741935483871, ""f1-score"": 0.9675276690732737, ""support"": 992.0}}",1.9589,506.411,15.825,2.0,4152,3410,369
1.0,100%,7931,distilbert-base-cased,DistilBERT,0.11789054423570633,0.9616935483870968,0.9250385131888023,0.9614432946086171,"{""Maoist"": {""precision"": 0.9691714836223507, ""recall"": 0.9691714836223507, ""f1-score"": 0.9691714836223507, ""support"": 519.0}, ""Security"": {""precision"": 0.9605568445475638, ""recall"": 0.9695550351288056, ""f1-score"": 0.965034965034965, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8809523809523809, ""recall"": 0.8043478260869565, ""f1-score"": 0.8409090909090909, ""support"": 46.0}, ""accuracy"": 0.9616935483870968, ""macro avg"": {""precision"": 0.9368935697074319, ""recall"": 0.9143581149460376, ""f1-score"": 0.9250385131888023, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9613725626467936, ""recall"": 0.9616935483870968, ""f1-score"": 0.9614432946086171, ""support"": 992.0}}",1.2338,803.991,25.125,2.0,4152,3410,369
1.0,100%,7931,xlnet-base-cased,XLNet,0.12705108523368835,0.9637096774193549,0.9252032395482831,0.9633324970163917,"{""Maoist"": {""precision"": 0.9766536964980544, ""recall"": 0.9672447013487476, ""f1-score"": 0.9719264278799613, ""support"": 519.0}, ""Security"": {""precision"": 0.954337899543379, ""recall"": 0.9789227166276346, ""f1-score"": 0.9664739884393063, ""support"": 427.0}, ""Unknown"": {""precision"": 0.9, ""recall"": 0.782608695652174, ""f1-score"": 0.8372093023255814, ""support"": 46.0}, ""accuracy"": 0.9637096774193549, ""macro avg"": {""precision"": 0.9436638653471445, ""recall"": 0.9095920378761854, ""f1-score"": 0.9252032395482831, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.9634934995841866, ""recall"": 0.9637096774193549, ""f1-score"": 0.9633324970163917, ""support"": 992.0}}",2.8922,342.99,10.718,2.0,4152,3410,369
1.0,100%,7931,google/electra-base-discriminator,ELECTRA,0.13182923197746277,0.9627016129032258,0.9241930372365155,0.9626390352284461,"{""Maoist"": {""precision"": 0.9728682170542635, ""recall"": 0.9672447013487476, ""f1-score"": 0.970048309178744, ""support"": 519.0}, ""Security"": {""precision"": 0.962877030162413, ""recall"": 0.9718969555035128, ""f1-score"": 0.9673659673659674, ""support"": 427.0}, ""Unknown"": {""precision"": 0.8444444444444444, ""recall"": 0.8260869565217391, ""f1-score"": 0.8351648351648352, ""support"": 46.0}, ""accuracy"": 0.9627016129032258, ""macro avg"": {""precision"": 0.9267298972203736, ""recall"": 0.9217428711246666, ""f1-score"": 0.9241930372365155, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.962612440498949, ""recall"": 0.9627016129032258, ""f1-score"": 0.9626390352284461, ""support"": 992.0}}",2.0841,475.989,14.875,2.0,4152,3410,369
