fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.03125,3%,309,bert-base-uncased,BERT Base (uncased),0.7557793855667114,0.8709677419354839,0.5854700854700855,0.5982142857142857,0.5904139433551198,0.8469809760132341,0.8709677419354839,0.856841661395741,0.3189,97.205,3.136,2.0
0.03125,3%,309,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.5573581457138062,0.9032258064516129,0.6013888888888889,0.6220238095238095,0.6113505747126436,0.875268817204301,0.9032258064516129,0.8887652947719689,0.2796,110.855,3.576,2.0
0.03125,3%,309,roberta-base,RoBERTa Base,0.7775496244430542,0.6451612903225806,0.45622895622895626,0.45535714285714285,0.42740740740740746,0.6682958618442489,0.6451612903225806,0.6151971326164875,0.2841,109.114,3.52,2.0
0.03125,3%,309,distilbert-base-uncased,DistilBERT (uncased),0.7493188381195068,0.7741935483870968,0.5166666666666667,0.5357142857142857,0.524731182795699,0.7516129032258064,0.7741935483870968,0.7608740894901145,0.2167,143.071,4.615,2.0
0.03125,3%,309,xlnet-base-cased,XLNet Base (cased),0.8004509806632996,0.5161290322580645,0.4104938271604938,0.37202380952380953,0.3113821138211382,0.6045400238948626,0.5161290322580645,0.4412273800157357,0.4493,69.0,2.226,2.0
0.03125,3%,309,google/electra-base-discriminator,ELECTRA Base,0.7571452856063843,0.8387096774193549,0.5687134502923977,0.5744047619047619,0.5677655677655677,0.8214487832484436,0.8387096774193549,0.8245303084012762,0.3173,97.698,3.152,2.0
0.0625,6%,619,bert-base-uncased,BERT Base (uncased),0.4044155180454254,0.8870967741935484,0.5992792792792793,0.6192129629629629,0.6072092159048681,0.8504969485614646,0.8870967741935484,0.86575322760456,0.5355,115.777,3.735,2.0
0.0625,6%,619,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.3024386763572693,0.9032258064516129,0.6015406162464986,0.6315586419753086,0.6161616161616162,0.8594131200867444,0.9032258064516129,0.8807429130009775,0.4663,132.965,4.289,2.0
0.0625,6%,619,roberta-base,RoBERTa Base,0.3825935423374176,0.8709677419354839,0.5861344537815126,0.6145833333333334,0.5950819672131148,0.8435212794795338,0.8709677419354839,0.8500264410364886,0.5182,119.647,3.86,2.0
0.0625,6%,619,distilbert-base-uncased,DistilBERT (uncased),0.42029863595962524,0.9032258064516129,0.6013888888888889,0.6334876543209876,0.616593567251462,0.8612903225806453,0.9032258064516129,0.8811544991511037,0.3386,183.115,5.907,2.0
0.0625,6%,619,xlnet-base-cased,XLNet Base (cased),0.20878906548023224,0.9032258064516129,0.6015406162464986,0.6315586419753086,0.6161616161616162,0.8594131200867444,0.9032258064516129,0.8807429130009775,0.7694,80.579,2.599,2.0
0.0625,6%,619,google/electra-base-discriminator,ELECTRA Base,0.43302619457244873,0.9193548387096774,0.6119818878439568,0.6439043209876543,0.6274725274725275,0.8752823001988743,0.9193548387096774,0.8966855724920242,0.5266,117.745,3.798,2.0
0.125,12%,1239,bert-base-uncased,BERT Base (uncased),0.2208724021911621,0.9274193548387096,0.7377594627594628,0.6984953703703703,0.7087463785138204,0.9129785537043601,0.9274193548387096,0.9186910363954623,0.8784,141.168,4.554,2.0
0.125,12%,1239,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.18567654490470886,0.9274193548387096,0.6170323928944619,0.6491126543209876,0.6326007326007326,0.8831024370512692,0.9274193548387096,0.9046260191421482,0.8727,142.089,4.584,2.0
0.125,12%,1239,roberta-base,RoBERTa Base,0.2284732460975647,0.9193548387096774,0.6122090469916557,0.6419753086419754,0.6266124025660481,0.8746228058991032,0.9193548387096774,0.8962521723070623,0.8469,146.408,4.723,2.0
0.125,12%,1239,distilbert-base-uncased,DistilBERT (uncased),0.26515400409698486,0.8870967741935484,0.6816326530612246,0.6685956790123456,0.6732708917899469,0.8845292955892033,0.8870967741935484,0.8838414764998571,0.5321,233.026,7.517,2.0
0.125,12%,1239,xlnet-base-cased,XLNet Base (cased),0.21613559126853943,0.9274193548387096,0.9503375977256575,0.6984953703703703,0.7249396913519051,0.9303038379530917,0.9274193548387096,0.9140666523823381,1.4309,86.658,2.795,2.0
0.125,12%,1239,google/electra-base-discriminator,ELECTRA Base,0.26065391302108765,0.9112903225806451,0.6062347614071752,0.6377314814814815,0.6215201465201465,0.8677739575959821,0.9112903225806451,0.8889090747961715,0.8924,138.955,4.482,2.0
0.25,25%,2478,bert-base-uncased,BERT Base (uncased),0.13383090496063232,0.9435483870967742,0.8608727539420609,0.8584030049678905,0.859446350504092,0.9436264594201355,0.9435483870967742,0.9433211512966571,1.7437,142.23,4.588,2.0
0.25,25%,2478,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.12068403512239456,0.9596774193548387,0.8881449893390192,0.9196776929601357,0.9021534685593591,0.9619394387509458,0.9596774193548387,0.9602794960483899,1.6882,146.906,4.739,2.0
0.25,25%,2478,roberta-base,RoBERTa Base,0.14012010395526886,0.9475806451612904,0.8562018659654836,0.8357142857142857,0.8449103490582751,0.9476829303210134,0.9475806451612904,0.9466439271403725,1.6153,153.532,4.953,2.0
0.25,25%,2478,distilbert-base-uncased,DistilBERT (uncased),0.16016000509262085,0.9395161290322581,0.8314062248024512,0.8318853750151459,0.8316340118513676,0.9396893581160167,0.9395161290322581,0.9395862730867661,0.9212,269.204,8.684,2.0
0.25,25%,2478,xlnet-base-cased,XLNet Base (cased),0.1244775578379631,0.9596774193548387,0.8739959087960883,0.9203077668726524,0.8939984347662188,0.963353889943074,0.9596774193548387,0.960982546361228,2.7948,88.735,2.862,2.0
0.25,25%,2478,google/electra-base-discriminator,ELECTRA Base,0.17463262379169464,0.9475806451612904,0.871832673690259,0.8868108566581849,0.8788522910262041,0.9486501339467484,0.9475806451612904,0.9479459390539334,1.7954,138.13,4.456,2.0
0.5,50%,4957,bert-base-uncased,BERT Base (uncased),0.15139082074165344,0.9576612903225806,0.8826161565291999,0.9323184313583072,0.9041923962976594,0.9609631571062146,0.9576612903225806,0.9587967511407665,3.2699,151.687,4.893,2.0
0.5,50%,4957,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.1352495700120926,0.9556451612903226,0.8736987818383168,0.906120432411493,0.8884470045688175,0.9580433054692244,0.9556451612903226,0.9566143130249462,3.2748,151.459,4.886,2.0
0.5,50%,4957,roberta-base,RoBERTa Base,0.14319902658462524,0.9536290322580645,0.8658383522900469,0.9045406535805293,0.8830252732204963,0.9568335551859422,0.9536290322580645,0.9548933826060866,3.1122,159.375,5.141,2.0
0.5,50%,4957,distilbert-base-uncased,DistilBERT (uncased),0.15390083193778992,0.9516129032258065,0.862486069696696,0.9161779036758609,0.8852949759429348,0.9563067110298854,0.9516129032258065,0.9533091374495535,1.7505,283.349,9.14,2.0
0.5,50%,4957,xlnet-base-cased,XLNet Base (cased),0.13086894154548645,0.9556451612903226,0.8842490842490842,0.9181269028466282,0.8996442306077256,0.957670152428217,0.9556451612903226,0.9564133938725446,6.1473,80.686,2.603,2.0
0.5,50%,4957,google/electra-base-discriminator,ELECTRA Base,0.1730034500360489,0.9536290322580645,0.8695342896200214,0.9180603221296145,0.8906254956716255,0.95757666296132,0.9536290322580645,0.9550221774358011,3.3974,145.995,4.71,2.0
1.0,100%,9914,bert-base-uncased,BERT Base (uncased),0.1540823131799698,0.9566532258064516,0.9002223134315983,0.9105932936885602,0.9052710717728035,0.9571820301957868,0.9566532258064516,0.9568749482834552,6.5227,152.085,4.753,2.0
1.0,100%,9914,snowood1/ConfliBERT-scr-uncased,ConfliBERT-scr-uncased,0.14737623929977417,0.9526209677419355,0.8960960667994952,0.9206789652964037,0.907665864835724,0.9536696409453702,0.9526209677419355,0.9530340990415715,6.3873,155.309,4.853,2.0
1.0,100%,9914,roberta-base,RoBERTa Base,0.1801454722881317,0.9506048387096774,0.8928799127689043,0.893116358932797,0.8929952039460369,0.9506458352331721,0.9506048387096774,0.9506212166207079,6.2226,159.419,4.982,2.0
1.0,100%,9914,distilbert-base-uncased,DistilBERT (uncased),0.16353008151054382,0.9495967741935484,0.882356069279437,0.9054055715483127,0.8931980899342781,0.950813254425999,0.9495967741935484,0.9501026354069344,3.4201,290.048,9.064,2.0
1.0,100%,9914,xlnet-base-cased,XLNet Base (cased),0.20873670279979706,0.9465725806451613,0.878222565804931,0.8965979144869137,0.88697063313387,0.9475841684935797,0.9465725806451613,0.9470103185249891,11.2508,88.171,2.755,2.0
1.0,100%,9914,google/electra-base-discriminator,ELECTRA Base,0.16880853474140167,0.9526209677419355,0.9041863433416087,0.8946776391826017,0.8992753897483197,0.9524875763643063,0.9526209677419355,0.9524975305689416,6.8408,145.013,4.532,2.0
